TOX-A	TOX-B	mGFP-A	mGFP-B
Khdc1b	21	30	0	5
AC115920.4	0	1	0	0
Kcnq5	485	466	348	384
RP24-496H1.1	1	6	2	10
AC115920.2	65	66	53	63
RP23-322P13.2	4	6	0	24
Gm26580	109	187	50	117
RP24-78G8.1	0	0	0	2
RP24-261D2.1	0	0	0	0
Rims1	0	0	0	0
RP23-42E3.1	0	0	0	0
RP24-495G2.1	0	0	0	0
RP24-495G2.2	0	0	0	0
RP24-163I14.1	0	0	1	0
Gm24176	0	0	0	0
RP23-28L24.5	0	0	0	0
Mir30a	0	0	0	0
RP23-28L24.7	0	0	0	0
Mir30c-2	0	0	0	0
RP23-28L24.8	0	0	0	0
RP23-28L24.9	0	0	0	0
Ogfrl1	201	339	173	220
RP24-361E14.1	11	14	13	14
RP23-25K16.1	0	0	0	0
B3gat2	15	4	8	0
Smap1	163	234	112	157
Sdhaf4	719	652	767	796
RP24-287C19.1	0	1	1	0
Fam135a	0	8	20	7
RP23-255J24.2	0	0	0	0
RP23-255J24.1	0	0	0	0
Col9a1	0	0	0	0
Col19a1	0	0	0	0
Gm26418	0	0	0	0
Tubb4b-ps2	13	10	13	13
RP23-8J15.7	1	1	0	0
RP23-8J15.6	7	6	7	7
RP23-8J15.5	6	17	9	15
RP23-8J15.4	11	6	11	8
RP23-8J15.3	4	2	0	1
RP23-8J15.2	1	3	5	6
RP23-8J15.1	2	3	7	9
Lmbrd1	2456	2164	2482	2185
RP23-109H7.1	0	0	0	0
RP24-178K6.1	0	0	0	0
RP24-178K6.2	0	0	0	0
RP24-178K6.3	0	0	0	0
Adgrb3	3	0	0	0
AC122187.1	0	0	0	0
RP23-21P2.4	0	0	0	0
Gm22260	0	0	0	0
RP23-21P2.3	0	0	0	0
RP23-21P2.2	0	0	0	0
RP23-21P2.5	0	0	0	0
RP23-21P2.6	0	0	0	0
RP23-21P2.7	0	0	0	0
RP23-21P2.8	0	0	0	0
Gm25294	0	0	0	0
RP23-347F2.2	0	0	0	0
RP23-347F2.3	0	0	0	0
RP23-347F2.1	0	0	0	0
RP23-478K4.2	0	0	0	0
RP23-478K4.1	0	0	0	0
RP23-478K4.3	0	0	0	0
RP23-184I13.2	3	0	0	0
RP23-184I13.3	0	0	0	0
RP23-184I13.4	0	0	0	0
RP23-184I13.5	0	0	0	0
RP23-184I13.6	0	0	0	0
RP23-184I13.7	0	0	0	0
RP23-184I13.8	0	0	0	0
RP23-184I13.1	0	0	0	0
RP24-228I17.1	0	0	0	0
RP24-264B17.1	0	0	0	0
Gm24064	0	0	0	0
RP24-338N17.1	0	0	0	0
n-R5s209	0	0	0	0
RP23-76B18.1	0	0	0	0
RP24-176K12.1	0	0	0	0
RP24-176K12.2	0	0	0	0
RP23-12H12.1	0	2	1	0
RP23-19M20.2	0	0	0	0
AC122186.1	45	30	45	40
Gm597	0	0	0	0
AC121566.1	0	1	2	0
RP24-365G17.1	0	0	0	0
RP24-430C1.1	0	0	0	0
Gm25586	0	0	0	0
Gm22679	0	0	0	0
Gm23785	0	0	0	0
Mir6342	0	0	0	0
RP23-313K8.2	79	66	115	76
RP24-229N7.1	1	0	1	1
