TOX-A	TOX-B	mGFP-A	mGFP-B
RP24-282D16.8	0	1	0	1
RP24-282D16.3	0	0	0	0
RP24-282D16.12	0	0	0	0
RP24-282D16.2	0	0	0	0
RP24-282D16.6	0	0	0	0
RP24-282D16.5	5	3	6	4
Mns1	1127	1109	561	705
RP24-282D16.4	17	41	6	14
RP23-296I6.1	0	0	0	0
Tex9	543	436	354	396
Gm28010	0	0	1	0
RP23-349N4.3	91	124	75	46
Rfx7	2527	2428	1471	2057
RP23-296I6.5	10	6	2	7
RP23-296I6.4	9	13	8	10
RP23-296I6.9	0	0	0	0
RP23-296I6.3	5	6	6	9
RP23-296I6.12	0	0	0	0
Gm23057	0	0	0	0
Nedd4	4840	5424	3447	2736
RP23-296I6.7	7	6	0	0
RP23-296I6.8	7	10	0	15
RP23-296I6.10	1	1	0	0
RP23-461P14.1	12	6	0	9
RP23-461P14.6	0	0	0	0
Prtg	0	0	0	0
RP23-461P14.5	0	0	0	0
RP23-461P14.4	0	0	0	0
RP24-176F12.6	0	3	0	0
Pygo1	0	0	0	0
Dyx1c1	12	10	20	21
Dyx1c1Ccpg1	0	0	0	0
Gm23567	1	0	0	0
RP24-176F12.13	4	0	0	0
Ccpg1os	101	95	101	187
Ccpg1	28	41	58	63
Gm27353	1	1	0	0
Pigb	1293	1500	1327	1370
RP24-176F12.12	6	8	1	6
RP24-176F12.14	545	501	589	609
Rab27a	4010	3181	2773	2362
RP24-280G4.9	0	0	0	0
Khdc3	19	10	4	2
RP24-280G4.3	0	0	0	0
Rsl24d1	5187	4785	4524	5017
RP24-280G4.6	0	6	0	1
RP24-280G4.7	0	1	1	2
RP23-339G10.1	0	0	0	0
Unc13c	0	0	0	0
RP23-143M5.2	0	0	0	0
RP24-84L8.2	0	0	0	0
Gm25105	0	0	0	0
RP24-218I3.2	0	0	0	0
n-R5s86	0	0	0	0
Wdr72	0	0	0	0
Gm24141	0	0	0	0
Nr1h2-ps	0	0	0	0
RP24-376I11.2	0	0	0	0
RP24-376I11.1	0	0	0	0
RP23-402M18.1	0	0	0	0
Gm22315	0	0	0	0
RP23-157H17.2	0	0	0	0
RP23-342N19.2	0	0	0	0
RP23-157H17.3	0	0	0	0
Onecut1	0	0	0	0
Fam214a	1074	866	712	1182
Arpp19	4938	4520	4098	4396
RP23-203P12.5	86	71	49	79
Myo5a	1648	1609	881	966
RP23-203P12.1	1	0	0	1
RP23-203P12.2	0	1	0	6
Myo5c	21	1	11	0
Gnb5	375	362	229	278
RP24-189I2.4	7	18	8	10
RP24-189I2.5	1	0	0	0
Bcl2l10	0	0	0	0
Mapk6	5118	5314	3102	3647
RP24-365N15.4	0	0	0	0
RP24-365N15.3	0	0	0	0
RP24-365N15.5	7	15	12	8
Leo1	2589	2249	1855	2282
RP24-365N15.2	14	0	26	14
Tmod3	15932	15689	12444	15173
RP24-365N15.9	0	0	0	0
Tmod2	35	12	17	6
RP24-126O19.4	0	0	0	0
Lysmd2	571	397	313	453
Scg3	0	0	0	0
RP23-429A10.2	0	0	0	0
RP23-429A10.1	37	68	49	31
Bmp5	0	0	0	0
RP23-426K2.2	0	0	0	0
RP23-343K17.3	0	0	0	0
Gm44355	0	0	0	0
RP23-426K2.3	0	0	0	0
Gm25300	0	0	0	0
Hmgcll1	0	0	0	0
RP23-343K17.2	0	0	0	0
Gfral	0	0	0	0
Hcrtr2	0	0	0	0
RP23-392M3.2	0	0	0	0
Fam83b	0	0	0	0
RP23-264P8.1	0	0	0	0
RP23-264P8.2	0	0	0	0
Gm22938	0	0	0	0
RP24-375O19.4	0	0	0	0
RP24-375O19.3	0	0	0	0
Gm23791	0	0	0	0
RP23-18M12.2	0	0	0	0
RP23-18M12.1	0	0	0	0
Tinag	0	0	0	0
RP23-282G22.4	0	0	0	0
RP23-282G22.2	0	0	0	0
RP23-443P12.1	0	0	0	0
Mlip	0	0	0	0
RP24-326O4.1	0	0	0	0
RP24-326O4.2	0	0	0	0
RP23-264N13.1	0	0	0	0
RP23-264N13.2	0	0	4	0
Lrrc1	340	359	277	190
RP24-364K9.3	74	44	76	38
RP24-364K9.2	0	0	0	0
Gm25250	0	0	0	0
Klhl31	0	2	0	0
RP23-268C22.3	0	0	0	0
RP23-268C22.2	0	0	0	0
RP23-297P22.1	0	0	0	0
Gclc	1397	1407	639	963
RP24-397P9.4	0	0	0	0
RP24-397P9.2	0	0	0	0
RP24-397P9.3	0	0	0	0
RP24-397P9.5	0	0	0	0
Elovl5	13869	12487	12385	12857
RP23-37D14.4	0	0	4	0
Gm23609	0	0	0	0
RP23-37D14.3	0	0	0	0
RP23-37D14.5	0	0	0	0
Gcm1	0	0	0	0
RP23-37D14.7	2	4	1	2
Fbxo9	2076	2250	1572	1806
Ick	532	463	353	421
Rn7sk	21	25	14	15
RP23-99D11.4	79	117	67	167
Gsta4	0	2	0	0
RP23-99D11.5	0	0	0	0
Gsta1	0	0	0	0
RP23-99D11.7	0	0	0	0
RP24-160H16.10	0	0	0	0
RP23-99D11.8	0	0	0	0
AC138587.1	0	0	0	0
Omt2a	0	0	0	0
RP24-160H16.9	0	0	0	0
Omt2b	0	0	0	0
Gsta2	0	0	0	0
Dppa5a	0	0	0	0
Ooep	0	0	0	0
RP24-160H16.4	0	0	0	0
RP24-160H16.7	0	0	1	0
Ddx43	4	21	0	21
RP23-366K1.2	0	3	0	0
Mb21d1	923	667	457	599
Gm17324	30	21	21	41
Mto1	2921	2377	2069	2312
Eef1a1	167164	181144	185003	207145
Gm26377	0	0	0	0
RP23-366K1.6	6	0	5	0
Slc17a5	477	329	412	497
Cd109	0	3	0	0
RP24-490A17.1	0	0	0	0
RP24-70H20.4	0	0	0	0
RP24-70H20.5	0	0	0	0
RP24-70H20.2	20	28	6	7
RP24-75M13.2	1	0	0	1
RP24-75M13.1	0	0	0	0
RP23-93J3.1	0	0	0	0
RP23-433C10.1	0	0	0	0
RP23-433C10.2	0	0	0	0
RP23-261O3.1	0	0	0	0
RP23-261O3.2	0	0	0	0
RP23-261O3.3	0	0	0	0
RP23-261O3.4	0	0	0	0
RP23-261O3.5	6	4	8	4
RP23-352M7.2	0	0	0	0
RP23-352M7.1	0	0	0	0
RP24-279F18.1	0	0	0	0
RP23-462B19.2	0	0	0	0
Col12a1	0	0	0	0
RP24-141A7.1	0	0	0	0
Cox7a2	5719	5187	5754	5056
Tmem30a	10808	11400	6072	8147
RP23-469I15.2	1	4	0	1
Filip1	9	30	0	34
RP23-469I15.4	0	0	0	0
RP23-228J12.1	0	0	0	0
RP23-228J12.2	0	0	0	0
Gm25433	0	0	0	0
RP24-63G9.4	0	0	0	0
Senp6	1616	1721	1203	1675
RP24-63G9.3	7	0	0	0
RP24-63G9.2	12	4	0	18
Myo6	1185	2320	605	919
RP24-300P2.1	0	0	0	0
Impg1	8	2	0	0
CH25-502A9.2	0	0	0	0
CH25-502A9.1	0	0	0	0
RP23-442O9.1	0	0	0	0
RP24-325L16.1	0	0	0	0
RP23-417D20.1	0	0	0	0
RP23-181I6.1	0	0	0	0
RP24-129O14.1	0	0	0	0
RP23-125F8.1	0	0	0	0
Htr1b	0	6	0	0
RP24-290P19.2	0	0	0	0
RP24-290P19.4	267	238	243	243
RP23-187J1.1	0	11	0	1
Mei4	25	27	55	77
RP23-15C15.2	0	0	0	0
RP23-316O20.1	0	0	0	0
RP24-161L16.1	0	1	0	1
Gm23748	0	0	0	0
RP24-161L16.3	0	0	0	0
RP24-161L16.2	0	0	0	0
Gm22836	0	0	0	0
Gm24393	0	0	0	0
RP23-452E7.2	0	0	0	0
Irak1bp1	140	171	130	141
Phip	2939	2788	1435	2551
RP23-13G1.9	0	0	0	0
RP23-13G1.6	0	0	0	0
RP23-13G1.8	0	0	0	0
Hmgn3	53	55	54	31
RP23-13G1.7	0	0	0	0
RP23-13G1.4	0	0	4	0
RP24-388H18.1	0	0	0	0
RP23-341H6.1	0	0	0	0
RP23-72A20.11	0	0	0	0
Lca5	511	541	448	484
Rps27a-ps2	8	1	2	3
RP23-72A20.9	0	2	1	0
RP23-72A20.2	0	1	0	1
RP23-72A20.8	0	0	0	0
RP23-72A20.10	0	0	0	0
Sh3bgrl2	79	64	217	12
RP24-221A9.1	0	0	0	0
RP23-101D11.3	0	0	0	0
RP23-101D11.2	0	0	0	0
Elovl4	73	24	35	21
Ttk	2224	1856	1004	1055
RP23-218I3.4	1	0	0	0
Bckdhb	326	314	235	360
Gm29163	0	0	0	1
RP24-255L24.1	15	10	13	10
RP23-44C21.2	0	0	0	0
Gm26146	0	0	0	0
RP24-465F1.1	0	0	0	0
RP23-58N8.1	0	1	2	1
RP23-329B5.1	0	0	0	0
Gm26126	0	0	0	0
RP23-329B5.2	0	0	0	0
RP23-61B14.1	0	0	0	0
RP23-61B14.3	0	0	0	0
RP23-61B14.2	0	1	0	0
RP23-61B14.4	0	0	0	0
RP23-230A14.1	22	18	8	20
RP23-230A14.2	0	0	0	0
RP23-142F22.2	0	0	0	0
RP23-142F22.1	0	0	0	0
Gm11114	0	0	0	0
Fam46a	1040	2510	1113	1494
RP24-216P6.3	0	0	0	0
RP24-216P6.1	0	0	0	0
RP24-216P6.4	0	0	0	0
Gm25125	0	0	0	0
RP24-86K19.1	0	0	0	0
RP23-58N8.7	0	0	0	0
Ibtk	5071	5303	2771	4226
RP23-58N8.6	73	72	69	69
Gm22830	0	0	0	0
RP23-58N8.4	1	5	0	1
RP23-58N8.5	0	0	0	0
RP24-511A23.2	0	0	0	0
Tpbg	10	3	0	0
RP24-511A23.3	0	0	0	0
RP23-103I7.1	0	0	0	0
Ube2cbp	283	321	421	302
RP24-325M3.2	0	0	0	0
Dopey1	1042	1305	755	1121
RP23-27L18.4	0	1	0	0
Pgm3	1441	1484	1358	1466
Rwdd2a	86	157	60	84
Me1	75	242	60	28
RP23-363K7.6	0	0	0	0
RP23-363K7.1	0	0	0	0
Gm25949	0	0	0	0
Gm22138	0	0	0	0
RP23-363K7.5	0	0	0	0
Prss35	0	9	31	0
Snap91	0	0	0	0
RP23-363K7.4	0	0	0	0
RP24-148D3.3	0	0	0	0
Ripply2	0	0	0	0
Cyb5r4	6735	6552	4366	5482
RP23-80D1.1	0	0	0	0
Mrap2	0	0	0	0
RP24-399O5.5	0	0	0	0
Cep162	593	759	632	699
Gm24649	6	0	0	0
RP23-367C15.1	0	0	0	0
RP24-69K24.1	0	0	0	0
Tbx18	2	0	0	0
RP23-353O7.5	0	0	0	0
RP23-353O7.3	0	0	0	0
RP23-353O7.4	0	0	0	0
Gm25528	0	0	0	0
Gm23176	0	0	0	0
RP24-160E3.1	0	0	0	0
RP23-338I1.3	0	0	0	0
RP23-338I1.1	0	0	0	1
RP23-118M23.4	0	0	0	0
RP23-118M23.7	5	2	2	2
RP23-118M23.8	0	0	0	0
Nt5e	514	541	379	415
Snx14	1731	1443	1299	1385
AC116713.2	3	1	0	1
RP23-118M23.1	5	2	2	0
RP24-286H7.4	9	17	9	11
Syncrip	10069	10093	6371	9007
Snhg5	1477	1447	1183	1395
Snord50a	0	0	0	0
Snord50b	0	0	0	0
Gm22985	0	0	0	0
Zfp949	603	315	362	459
Gm26461	0	0	0	5
Trim43a	0	0	0	0
RP23-46B12.5	11	4	16	1
RP23-46B12.11	0	0	0	0
Gm23017	0	0	0	0
RP23-46B12.7	0	1	10	0
RP23-46B12.6	1	1	1	0
Mthfsl	466	466	501	443
RP23-229N10.2	0	0	0	0
Bcl2a1d	114	93	71	59
RP23-386A10.2	1	1	1	1
Gm26082	0	0	0	0
RP23-229N10.3	0	0	0	0
RP23-229N10.1	0	0	0	0
Trim43c	0	0	0	0
RP23-229N10.4	11	27	8	14
RP23-136C5.9	0	0	0	0
Gm26135	0	0	0	0
RP24-529L21.2	0	0	0	0
RP24-529L21.3	0	0	0	0
Gm23707	0	0	0	0
Bcl2a1a	0	1	1	1
RP24-529L21.6	0	0	0	0
RP24-529L21.7	0	0	0	0
Gm24463	0	0	0	0
RP23-136C5.8	0	0	0	0
Trim43b	0	0	0	0
RP23-136C5.4	0	0	0	0
Gm26423	0	0	0	0
Bcl2a1b	219	196	170	145
RP23-121I20.3	2	5	0	0
Mthfs	330	264	358	347
RP23-121I20.2	0	5	0	0
RP23-407B23.4	0	0	0	0
RP23-407B23.1	0	0	0	0
RP24-340L11.5	0	0	0	0
RP24-340L11.6	0	0	0	0
Tmed3	4526	3957	3608	3680
Ankrd34c	0	0	0	0
RP24-340L11.4	0	0	0	0
Mir184	0	0	0	0
RP23-184F1.3	0	0	0	0
RP23-184F1.2	0	0	0	0
Rasgrf1	0	0	0	0
Gm23759	0	0	0	0
RP23-118J13.2	0	0	0	0
Ctsh	3	8	1	1
Morf4l1	3565	3053	3125	3766
Gm26882	2	1	0	1
RP24-89F9.7	44	33	23	23
RP24-89F9.4	0	0	0	0
Adamts7	0	2	4	0
Tbc1d2b	3513	3411	2253	1792
RP23-24D16.1	2	1	1	1
RP24-216M10.1	0	0	0	0
Gm22717	0	0	0	0
Gm22866	0	0	0	0
RP23-250E15.2	0	0	0	0
RP23-19M11.3	0	0	0	0
RP23-250E15.1	0	0	0	0
RP23-19M11.1	0	0	0	0
RP23-19M11.2	0	0	0	0
RP23-250E15.3	0	0	0	0
RP23-480D7.1	0	0	1	0
RP24-135P4.1	88	58	61	69
RP24-135P4.2	0	0	0	0
RP23-186M2.2	0	0	0	0
RP23-186M2.1	0	0	0	0
RP23-186M2.3	0	0	0	0
RP23-340C13.5	0	1	0	0
RP23-340C13.4	0	0	0	0
RP23-340C13.11	0	0	0	0
RP23-340C13.8	0	0	0	0
Zic1	0	0	0	0
Zic4	0	0	0	0
RP23-340C13.9	0	0	0	0
RP23-146C24.2	0	0	0	0
RP23-36P5.1	0	0	0	0
Gm26101	0	0	0	0
RP24-90N20.1	0	0	0	0
Plscr5	0	0	0	0
Plscr1	2630	2054	2265	1941
Mir6386	6	2	2	0
Plscr2	3	9	16	7
RP23-331P8.5	0	0	0	0
RP23-21J17.1	0	0	0	0
RP23-21J17.2	0	0	0	0
Plscr4	10	32	27	33
Gm25417	0	0	0	0
RP23-298I7.2	116	146	74	87
RP23-298I7.4	0	0	0	0
Plod2	3357	4590	1629	2267
RP23-298I7.3	0	0	0	0
RP23-18K24.1	0	0	0	0
RP23-142I8.1	0	0	0	0
RP24-331H14.3	0	0	0	0
RP24-331H14.2	0	1	0	0
RP24-331H14.1	0	0	0	0
RP23-296L9.1	1	2	5	1
RP23-237M15.1	0	0	0	0
RP23-374L19.1	0	0	0	0
Gm24200	0	0	0	0
RP23-19M11.4	0	0	0	0
RP23-358J5.1	0	0	0	0
RP23-253N17.1	1062	1007	643	587
RP24-361K14.1	0	0	0	0
Gm24178	0	0	0	0
RP23-106P6.3	51	11	8	29
Slc9a9	4107	3135	2463	3426
RP23-106P6.1	0	2	0	0
Mir7656	2	4	3	5
RP23-365J20.3	0	2	0	0
Chst2	41	59	13	23
RP24-324I23.4	0	0	10	0
RP24-324I23.3	0	0	0	0
RP23-260J19.4	0	0	0	0
U2surp	6024	6975	3389	5520
RP23-260J19.3	12	7	3	2
RP23-260J19.5	0	0	0	0
Paqr9	1	0	0	0
AC157947.3	0	0	0	0
RP23-238L21.5	0	0	0	0
Gm25582	0	0	0	0
AC157947.2	0	0	0	0
Pcolce2	0	0	0	0
Itpa-ps2	0	0	0	0
Trpc1	11	0	0	3
Pls1	0	7	0	26
RP23-283E4.1	0	6	2	2
Atr	1609	2149	943	1302
Gm24004	0	0	0	0
RP23-269E5.5	76	79	64	57
Xrn1	2190	2162	1399	1962
RP23-269E5.14	0	0	0	0
RP23-269E5.9	5	4	0	11
RP23-269E5.10	14	19	0	15
Gk5	145	128	159	106
Tfdp2	864	887	328	571
RP23-53H1.3	0	0	0	0
RP24-345A14.5	0	0	0	0
Atp1b3	28470	24787	23656	27459
RP24-345A14.4	489	453	587	780
Rnf7	4180	4014	3992	3851
RP24-91A16.3	0	0	0	0
Gm27289	0	0	0	0
RP24-91A16.4	11	3	6	0
Rasa2	4068	3925	2380	3427
n-R5s87	0	3	0	0
RP24-91A16.5	1	2	0	2
Zbtb38	2000	2101	1244	1661
RP24-217M7.4	27	34	18	28
RP24-217M7.2	24	39	24	0
RP23-128A11.6	0	0	0	0
RP23-128A11.3	12	9	6	3
Pxylp1	1386	1210	853	941
RP23-128A11.5	87	97	97	89
RP23-128A11.4	2	12	7	4
Spsb4	1	0	0	0
RP23-401G21.1	0	0	0	0
RP23-401G21.4	0	0	0	0
RP23-401G21.7	19	5	0	0
Gm26767	93	48	12	24
Slc25a36	2130	2121	1309	2608
RP23-401G21.3	15	11	13	20
Rpl7a-ps10	1	3	4	4
RP23-389M9.3	0	0	0	0
RP23-389M9.4	0	0	0	0
RP23-389M9.5	0	0	0	0
RP23-389M9.6	0	0	0	0
Trim42	0	2	0	0
RP23-389M9.2	0	0	0	0
Gm25607	0	0	0	0
Clstn2	0	0	0	0
RP23-263D11.1	0	0	0	0
RP23-344D18.2	0	0	0	0
RP23-321E5.1	0	0	0	0
Nmnat3	888	866	901	1063
RP23-300D5.1	14	17	10	34
Rbp1	0	0	0	0
Rbp2	0	0	0	0
RP23-307B15.3	0	0	0	0
RP23-307B15.1	39	34	44	42
Copb2	15816	17219	11648	13944
RP23-307B15.5	0	2	0	4
Mrps22	2801	2495	2466	2567
RP24-116C1.9	69	25	78	45
Gm27919	0	0	0	0
Pisrt1	0	0	0	0
RP24-116C1.7	0	0	0	0
RP24-116C1.6	0	0	1	0
RP24-116C1.5	0	0	0	0
RP24-116C1.8	0	0	0	0
Prr23a1	0	0	0	0
Prr23a2	0	0	0	0
Prr23a3	0	0	0	0
RP24-207M20.2	22	11	8	9
RP24-207M20.5	0	0	0	0
RP24-225E14.5	0	0	0	0
RP24-225E14.11	0	0	0	0
RP24-225E14.9	0	0	0	0
Foxl2os	0	0	0	0
Foxl2	0	0	0	0
Faim	2488	2156	1976	2516
RP24-225E14.3	12	3	8	9
Pik3cb	326	410	133	374
RP23-114N1.6	0	0	0	0
Faiml	0	0	0	0
RP23-114N1.2	0	0	0	0
Cep70	832	768	326	494
RP23-114N1.10	0	1	0	0
RP23-114N1.9	0	0	0	0
RP23-114N1.8	0	6	0	0
RP23-114N1.5	1	0	0	12
Esyt3	1	0	0	0
RP23-114N1.4	0	0	0	0
RP24-349B6.3	0	0	0	0
Mras	9	0	0	2
Nme9	0	0	0	0
Armc8	3533	2897	2574	3602
Dbr1	2292	2221	2225	2045
A4gnt	0	0	0	0
Dzip1l	0	0	0	0
Cldn18	0	0	0	0
RP23-148A16.3	0	0	0	0
Gm23949	0	0	0	0
RP23-52K6.2	0	0	0	0
Sox14	0	0	0	0
Gm23594	0	0	0	0
RP23-14N2.2	5	0	2	1
RP23-14N2.1	0	0	0	0
RP24-136L12.1	0	0	0	0
RP24-294E6.1	0	0	0	0
RP23-368K22.5	0	0	0	0
RP23-368K22.2	0	0	0	0
RP23-368K22.3	0	0	0	0
Il20rb	74	79	84	23
Nck1	2912	2992	1830	2923
RP24-535L7.6	0	0	0	0
Slc35g2	15	5	3	0
Stag1	4400	4519	1916	3564
RP23-116P18.5	0	0	0	0
RP23-116P18.1	1	4	8	3
RP23-116P18.2	1	9	35	2
RP23-116P18.4	0	0	1	12
RP23-260F15.2	3	1	0	0
Pccb	916	872	688	789
RP24-456L17.4	0	0	0	0
Msl2	1076	974	520	949
WI1-1981I9.5	0	0	0	1
Ppp2r3a	123	282	128	191
WI1-1981I9.2	3	5	0	17
WI1-1981I9.3	4	10	0	0
RP24-308L17.1	0	4	0	0
RP24-308L17.5	0	0	0	0
RP24-308L17.2	0	0	0	0
Gm24338	0	0	0	0
RP23-464K22.4	1	0	0	0
RP23-464K22.5	0	0	0	0
RP23-464K22.1	0	0	0	0
Gm24638	0	0	0	0
RP23-464K22.6	0	0	0	0
RP23-464K22.3	0	0	3	6
RP23-269P7.4	0	0	0	0
RP23-269P7.3	0	0	0	0
RP23-269P7.5	0	0	0	0
RP23-269P7.1	0	0	0	1
RP24-364K10.1	0	0	0	0
RP24-364K10.3	0	0	0	0
Ephb1	0	0	0	0
RP23-415M7.1	0	0	0	0
RP23-415M7.2	0	0	0	0
n-R5s88	0	0	0	0
RP23-462C14.2	0	0	0	0
RP23-462C14.1	0	0	0	0
RP23-277L20.2	0	0	0	0
Mir7243	0	0	0	0
Gm26846	0	0	0	0
Gm22894	0	0	0	0
RP23-467E4.7	0	0	0	0
Ky	0	0	0	0
Gm25669	0	0	0	0
RP23-467E4.3	0	0	0	0
RP23-467E4.4	0	0	0	0
RP23-467E4.5	0	0	0	0
RP23-467E4.6	0	0	0	0
Cep63	1721	1611	1403	1772
Anapc13	743	627	768	662
RP24-221A14.4	0	0	0	0
RP24-221A14.5	0	0	0	0
Amotl2	0	0	0	8
RP24-221A14.2	0	0	0	0
RP23-274G21.3	0	0	0	0
RP23-274G21.6	0	0	0	0
RP23-274G21.4	0	0	0	0
Ryk	38	43	74	51
RP23-274G21.5	0	0	0	0
Slco2a1	7	29	0	0
Gm25842	0	0	0	0
n-R5s89	0	0	0	0
Gm22595	0	0	0	0
RP24-421P3.9	0	0	0	0
Rab6b	156	193	157	208
RP24-421P3.7	0	2	0	3
Srprb	2660	2549	2753	2690
RP24-421P3.2	0	0	0	0
Trf	1	3	2	0
RP23-217J11.1	9	4	4	7
Topbp1	7795	8379	2682	5022
Cdv3	6426	6000	4725	5475
RP23-217J11.5	0	0	0	0
RP23-217J11.6	0	0	0	0
RP23-216O10.2	302	117	185	159
Bfsp2	14	17	20	25
RP23-216O10.3	0	0	0	0
Tmem108	524	499	618	475
RP23-216O10.11	0	0	0	0
Gm26360	0	0	0	0
RP23-216O10.8	0	0	0	0
RP23-216O10.5	0	0	0	0
RP23-216O10.6	0	0	0	0
RP23-380A10.4	0	0	0	0
RP23-380A10.3	0	0	0	0
RP23-380A10.8	0	0	0	0
Nphp3	162	119	126	120
RP23-380A10.7	0	0	0	0
RP23-380A10.5	0	4	0	0
Uba5	3353	3372	2782	3285
RP23-380A10.6	0	1	0	1
Acad11	1199	1252	923	1067
Ackr4	3	33	36	6
RP24-296K18.5	1	1	3	1
RP24-296K18.6	0	0	0	1
Dnajc13	2184	2227	1669	1861
Hmgb1-rs16	2	0	0	0
RP23-353G11.6	11	7	4	4
Acpp	1052	467	692	393
RP23-353G11.9	0	0	0	0
RP23-353G11.2	0	0	0	0
Mir2136	0	0	0	0
Gm25904	0	0	0	0
Cpne4	0	0	0	0
Gm23391	0	0	0	0
Mrpl3	6097	5545	4619	5226
RP23-444I6.3	55	22	53	14
RP24-553E23.8	0	0	0	0
RP24-553E23.7	0	0	0	0
RP24-553E23.6	0	0	0	0
Nudt16	1574	1594	1723	1953
RP24-553E23.3	0	0	0	0
Nek11	0	3	1	4
RP24-553E23.5	0	0	0	0
RP24-553E23.2	0	0	0	0
9.104944562-105295281.1	0	0	0	0
Aste1	784	597	514	786
Atp2c1	5758	5864	3050	5079
RP23-435I22.4	0	9	0	0
RP23-435I22.3	0	0	2	0
RP23-435I22.2	3	8	5	2
Pik3r4	3394	3308	2349	2639
Gm22720	2	0	0	0
Col6a6	0	4	0	0
RP24-281C16.3	0	0	0	0
Col6a5	0	0	0	0
Col6a4	0	0	0	0
Gm24631	0	0	0	0
RP24-294A16.4	0	0	0	0
RP24-294A16.3	0	0	0	0
RP23-441D9.8	0	0	0	0
RP23-441D9.9	0	0	0	0
RP23-441D9.4	9	13	40	38
Glyctk	219	236	244	248
Mir135a-1	0	0	0	0
Wdr82	6002	5624	4838	6412
Mirlet7g	0	0	0	0
Ppm1m	1635	1385	794	952
Twf2	10463	8989	12762	10653
Tlr9	0	0	0	0
Alas1	3007	2408	2557	2586
RP23-441D9.10	7	1	16	3
Poc1a	1797	1458	1320	977
RP23-99I11.2	7	18	22	4
Dusp7	435	556	500	385
Rpl29	7998	8144	9136	8435
Acy1	690	819	989	721
Abhd14a	1683	1775	2321	1652
Abhd14b	358	412	426	446
RP24-74F2.12	0	0	0	0
Pcbp4	732	1041	858	669
Gpr62	3	19	19	5
Parp3	1123	823	913	1009
Rrp9	8113	6847	7234	7893
Iqcf1	0	0	0	0
Iqcf3	0	0	0	0
Iqcf5	1	0	1	3
Iqcf4	0	0	0	0
Iqcf6	0	0	0	0
Gm26185	0	0	0	0
RP24-279M22.3	0	0	0	0
Grm2	0	0	0	0
Tex264	3833	3538	4137	3533
Rad54l2	884	768	623	631
Gm22384	0	0	0	0
Vprbp	6660	6242	5197	6685
Manf	11745	11766	9607	8980
RP23-201C3.5	3	1	5	1
Rbm15b	870	816	873	754
RP23-201C3.1	11	24	38	46
Dock3	0	2	0	4
RP23-317M3.1	0	0	0	0
Gm22454	0	0	0	0
RP23-317M3.2	0	0	0	0
Gm23595	0	0	0	0
RP23-115A1.7	0	0	0	0
Gm22238	0	0	0	0
RP23-115A1.13	0	0	0	0
Mapkapk3	12761	9802	11431	11247
RP23-115A1.9	103	91	48	62
Cish	29108	25151	29885	28092
RP23-115A1.10	0	0	0	0
Hemk1	10322	12428	10882	9500
RP23-115A1.5	1720	1456	1529	1491
RP23-115A1.12	0	0	12	0
Cacna2d2	14	15	15	9
RP23-456B9.8	0	0	0	0
RP23-456B9.9	0	0	0	0
Tmem115	4757	3758	3761	3533
Cyb561d2	2918	2530	2930	2838
Nprl2	2316	1844	2361	2360
Zmynd10	118	123	102	59
RP23-456B9.21	36	67	48	32
Rassf1	3350	2950	2863	2915
RP23-456B9.22	14	51	32	30
Tusc2	2387	2225	1709	2115
Hyal2	1248	1167	1381	1161
RP23-456B9.5	0	0	0	0
Hyal1	48	46	66	73
Nat6	643	522	760	608
Hyal3	10	8	19	43
Ifrd2	3444	3262	3166	3502
Lsmem2	6	7	5	5
RP23-456B9.24	13	10	9	1
Sema3b	0	4	0	0
Gnai2	56206	49408	50481	41622
RP23-456B9.18	3	1	0	0
Slc38a3	0	0	0	0
Gnat1	2	3	0	0
RP24-281B12.3	0	0	0	0
Sema3f	5	14	19	0
Rbm5	10181	9080	8177	10201
RP24-432B3.3	5	16	20	9
Rbm6	5673	4838	3052	5401
RP24-432B3.4	0	0	0	0
Mon1a	1794	1489	1735	1823
Gm23856	0	0	0	0
Mst1r	0	0	0	0
Actl11	0	0	0	0
RP23-286E6.14	0	0	0	0
Camkv	0	0	0	0
Traip	1951	1779	1196	1083
Uba7	5109	3943	4445	4610
RP23-286E6.7	0	0	0	0
Fam212a	199	135	228	136
Gm24944	0	0	0	0
RP23-286E6.3	0	0	0	0
Cdhr4	2	0	2	0
RP24-484G16.9	0	0	0	0
RP23-286E6.4	0	0	4	0
Ip6k1	4714	4301	3714	4238
RP23-286E6.13	2	0	12	1
Gmppb	3283	2759	2672	2491
Rnf123	5981	5617	6029	6359
RP24-484G16.7	0	0	0	0
Amigo3	122	72	99	114
Mst1	166	70	42	29
Mir7088	0	0	0	0
Apeh	5830	4408	4579	4737
Bsn	446	286	231	240
Gm47303	3	1	0	3
RP24-484G16.12	0	4	0	0
RP24-498P8.3	0	0	1	1
RP24-498P8.5	0	0	0	0
RP24-498P8.6	0	0	0	0
Dag1	2055	1852	1302	1360
Nicn1	429	475	377	331
Amt	13	8	33	22
Tcta	1121	1119	1587	1397
Rhoa	25928	23942	24663	22895
RP23-448A11.17	5	4	9	7
RP23-448A11.8	1	0	0	0
Gpx1	5897	5134	6293	5972
Usp4	14910	13039	9932	12018
Rps2-ps11	6	19	13	3
RP23-448A11.16	38	31	16	22
RP23-448A11.15	23	18	12	15
Ccdc36	0	0	0	0
Gm25456	0	0	0	0
RP23-448A11.13	0	0	0	0
Klhdc8b	114	101	140	70
Ccdc71	4225	3949	4224	4243
RP23-250G8.12	0	8	0	3
Lamb2	33	5	6	11
